City,Venue,Host_Country,Date,Match Type,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Team 1 Wicket Keeper,Team 2 Wicket Keeper,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Centurion,SuperSport Park,South Africa,07-05-2009,Group Stage,Royal Challengers Bangalore,Rajasthan Royals,Anil Kumble,Shane Warne,Mark Boucher,Naman Ojha,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,0,1,,7,A Singh,K Hariharan,DJ Harper
Centurion,SuperSport Park,South Africa,07-05-2009,Group Stage,Chennai Super Kings,Kings XI Punjab,MS Dhoni,Yuvraj Singh,MS Dhoni,Kumar Sangakkara,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,12,,ML Hayden,DJ Harper,TH Wijewardene
East London,Buffalo Park,South Africa,08-05-2009,Group Stage,Delhi Daredevils,Mumbai Indians,Gautam Gambhir,Sachin Tendulkar,Dinesh Karthik,Pinal Shah,Mumbai Indians,bat,Mumbai Indians,Delhi Daredevils,0,1,,7,A Nehra,M Erasmus,SK Tarapore
Kimberley,De Beers Diamond Oval,South Africa,09-05-2009,Group Stage,Deccan Chargers,Kings XI Punjab,Adam Gilchrist,Yuvraj Singh,Adam Gilchrist,Kumar Sangakkara,Kings XI Punjab,field,Deccan Chargers,Kings XI Punjab,0,1,,3,DPMD Jayawardene,GAV Baxter,AM Saheba
Kimberley,De Beers Diamond Oval,South Africa,09-05-2009,Group Stage,Chennai Super Kings,Rajasthan Royals,MS Dhoni,Shane Warne,MS Dhoni,Naman Ojha,Rajasthan Royals,bat,Rajasthan Royals,Chennai Super Kings,0,1,,7,S Badrinath,GAV Baxter,HDPK Dharmasena
Port Elizabeth,St George's Park,South Africa,10-05-2009,Group Stage,Royal Challengers Bangalore,Mumbai Indians,Anil Kumble,Sachin Tendulkar,Mark Boucher,Yogesh Takawale,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,16,,JP Duminy,BR Doctrove,BG Jerling
Johannesburg,New Wanderers Stadium,South Africa,10-05-2009,Group Stage,Delhi Daredevils,Kolkata Knight Riders,Gautam Gambhir,Brendon McCullum,Dinesh Karthik,Morne van Wyk,Delhi Daredevils,field,Kolkata Knight Riders,Delhi Daredevils,0,1,,7,A Mishra,SL Shastri,RB Tiffin
Kimberley,De Beers Diamond Oval,South Africa,11-05-2009,Group Stage,Deccan Chargers,Rajasthan Royals,Adam Gilchrist,Shane Warne,Adam Gilchrist,Naman Ojha,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,53,,DR Smith,GAV Baxter,HDPK Dharmasena
Centurion,SuperSport Park,South Africa,12-05-2009,Group Stage,Royal Challengers Bangalore,Kolkata Knight Riders,Anil Kumble,Brendon McCullum,Mark Boucher,Wriddhiman Saha,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,6,LRPL Taylor,M Erasmus,SS Hazare
Centurion,SuperSport Park,South Africa,12-05-2009,Group Stage,Kings XI Punjab,Mumbai Indians,Yuvraj Singh,Sachin Tendulkar,Kumar Sangakkara,Yogesh Takawale,Kings XI Punjab,bat,Kings XI Punjab,Mumbai Indians,0,1,,8,Harbhajan Singh,SS Hazare,RE Koertzen
Durban,Kingsmead,South Africa,13-05-2009,Group Stage,Deccan Chargers,Delhi Daredevils,Adam Gilchrist,Virender Sehwag,Adam Gilchrist,Dinesh Karthik,Deccan Chargers,field,Delhi Daredevils,Delhi Daredevils,1,0,12,,R Bhatia,DJ Harper,SL Shastri
Durban,Kingsmead,South Africa,14-05-2009,Group Stage,Royal Challengers Bangalore,Chennai Super Kings,Anil Kumble,MS Dhoni,Mark Boucher,MS Dhoni,Chennai Super Kings,bat,Chennai Super Kings,Royal Challengers Bangalore,0,1,,2,LRPL Taylor,BR Doctrove,DJ Harper
Durban,Kingsmead,South Africa,14-05-2009,Group Stage,Mumbai Indians,Rajasthan Royals,Sachin Tendulkar,Shane Warne,Yogesh Takawale,Naman Ojha,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,2,,SK Warne,BR Doctrove,DJ Harper
Bloemfontein,OUTsurance Oval,South Africa,15-05-2009,Group Stage,Delhi Daredevils,Kings XI Punjab,Virender Sehwag,Yuvraj Singh,Dinesh Karthik,Kumar Sangakkara,Kings XI Punjab,field,Delhi Daredevils,Kings XI Punjab,0,1,,6,B Lee,HDPK Dharmasena,IL Howell
Port Elizabeth,St George's Park,South Africa,16-05-2009,Group Stage,Chennai Super Kings,Mumbai Indians,MS Dhoni,Sachin Tendulkar,MS Dhoni,Yogesh Takawale,Mumbai Indians,bat,Mumbai Indians,Chennai Super Kings,0,1,,7,ML Hayden,SK Tarapore,SJA Taufel
Johannesburg,New Wanderers Stadium,South Africa,16-05-2009,Group Stage,Deccan Chargers,Kolkata Knight Riders,Adam Gilchrist,Brendon McCullum,Adam Gilchrist,Wriddhiman Saha,Deccan Chargers,field,Kolkata Knight Riders,Deccan Chargers,0,1,,6,RG Sharma,RE Koertzen,S Ravi
Johannesburg,New Wanderers Stadium,South Africa,17-05-2009,Group Stage,Deccan Chargers,Kings XI Punjab,Adam Gilchrist,Yuvraj Singh,Adam Gilchrist,Kumar Sangakkara,Deccan Chargers,field,Kings XI Punjab,Kings XI Punjab,1,0,1,,Yuvraj Singh,S Ravi,RB Tiffin
Bloemfontein,OUTsurance Oval,South Africa,17-05-2009,Group Stage,Delhi Daredevils,Rajasthan Royals,Virender Sehwag,Shane Warne,Dinesh Karthik,Naman Ojha,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,14,,AB de Villiers,SS Hazare,IL Howell
Centurion,SuperSport Park,South Africa,18-05-2009,Group Stage,Chennai Super Kings,Kolkata Knight Riders,MS Dhoni,Brendon McCullum,MS Dhoni,Wriddhiman Saha,Chennai Super Kings,bat,Chennai Super Kings,Kolkata Knight Riders,0,1,,7,BJ Hodge,SJA Taufel,RB Tiffin
Johannesburg,New Wanderers Stadium,South Africa,19-05-2009,Group Stage,Royal Challengers Bangalore,Delhi Daredevils,Anil Kumble,Virender Sehwag,Mark Boucher,Dinesh Karthik,Delhi Daredevils,bat,Delhi Daredevils,Royal Challengers Bangalore,0,1,,7,JH Kallis,IL Howell,RB Tiffin
Durban,Kingsmead,South Africa,20-05-2009,Group Stage,Kolkata Knight Riders,Rajasthan Royals,Brendon McCullum,Shane Warne,Shoaib Shaikh,Naman Ojha,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,0,1,,4,LR Shukla,BG Jerling,SJA Taufel
Durban,Kingsmead,South Africa,20-05-2009,Group Stage,Chennai Super Kings,Kings XI Punjab,MS Dhoni,Yuvraj Singh,MS Dhoni,Kumar Sangakkara,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,24,,M Muralitharan,BG Jerling,SJA Taufel
Centurion,SuperSport Park,South Africa,21-05-2009,Group Stage,Delhi Daredevils,Mumbai Indians,Virender Sehwag,Sachin Tendulkar,Dinesh Karthik,Pinal Shah,Delhi Daredevils,field,Mumbai Indians,Delhi Daredevils,0,1,,4,V Sehwag,IL Howell,S Ravi
Centurion,SuperSport Park,South Africa,21-05-2009,Group Stage,Royal Challengers Bangalore,Deccan Chargers,Anil Kumble,Adam Gilchrist,Mark Boucher,Adam Gilchrist,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,12,,MK Pandey,IL Howell,S Ravi
Centurion,SuperSport Park,South Africa,22-05-2009,1st Semi Final,Delhi Daredevils,Deccan Chargers,Virender Sehwag,Adam Gilchrist,Dinesh Karthik,Adam Gilchrist,Deccan Chargers,field,Delhi Daredevils,Deccan Chargers,0,1,,6,AC Gilchrist,BR Doctrove,DJ Harper
Johannesburg,New Wanderers Stadium,South Africa,23-05-2009,2nd Semi Final,Royal Challengers Bangalore,Chennai Super Kings,Anil Kumble,MS Dhoni,Mark Boucher,MS Dhoni,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,0,1,,6,MK Pandey,RE Koertzen,SJA Taufel
Johannesburg,New Wanderers Stadium,South Africa,24-05-2009,Final,Royal Challengers Bangalore,Deccan Chargers,Anil Kumble,Adam Gilchrist,Mark Boucher,Adam Gilchrist,Royal Challengers Bangalore,field,Deccan Chargers,Deccan Chargers,1,0,6,,A Kumble,RE Koertzen,SJA Taufel
Mumbai,Dr DY Patil Sports Academy,India,12-03-2010,Group Stage,Deccan Chargers,Kolkata Knight Riders,Adam Gilchrist,Sourav Ganguly,Adam Gilchrist,Wriddhiman Saha,Deccan Chargers,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,11,,AD Mathews,RE Koertzen,RB Tiffin
Mumbai,Brabourne Stadium,India,13-03-2010,Group Stage,Mumbai Indians,Rajasthan Royals,Sachin Tendulkar,Shane Warne,Aditya Tare,Naman Ojha,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,4,,YK Pathan,RE Koertzen,RB Tiffin
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,13-03-2010,Group Stage,Kings XI Punjab,Delhi Daredevils,Kumar Sangakkara,Gautam Gambhir,Kumar Sangakkara,Dinesh Karthik,Delhi Daredevils,field,Kings XI Punjab,Delhi Daredevils,0,1,,5,G Gambhir,BR Doctrove,S Ravi
Kolkata,Eden Gardens,India,14-03-2010,Group Stage,Kolkata Knight Riders,Royal Challengers Bangalore,Sourav Ganguly,Anil Kumble,Wriddhiman Saha,Shreevats Goswami,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,,7,MK Tiwary,HDPK Dharmasena,AM Saheba
Chennai,"MA Chidambaram Stadium, Chepauk",India,14-03-2010,Group Stage,Chennai Super Kings,Deccan Chargers,MS Dhoni,Adam Gilchrist,MS Dhoni,Adam Gilchrist,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,31,,WPUJC Vaas,K Hariharan,DJ Harper
Ahmedabad,"Sardar Patel Stadium, Motera",India,15-03-2010,Group Stage,Rajasthan Royals,Delhi Daredevils,Shane Warne,Gautam Gambhir,Naman Ojha,Dinesh Karthik,Delhi Daredevils,field,Rajasthan Royals,Delhi Daredevils,0,1,,6,V Sehwag,BG Jerling,RE Koertzen
Bangalore,M Chinnaswamy Stadium,India,16-03-2010,Group Stage,Royal Challengers Bangalore,Kings XI Punjab,Anil Kumble,Kumar Sangakkara,Mark Boucher,Kumar Sangakkara,Kings XI Punjab,bat,Kings XI Punjab,Royal Challengers Bangalore,0,1,,8,JH Kallis,S Das,DJ Harper
Kolkata,Eden Gardens,India,16-03-2010,Group Stage,Kolkata Knight Riders,Chennai Super Kings,Sourav Ganguly,MS Dhoni,Wriddhiman Saha,MS Dhoni,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,55,,MS Dhoni,HDPK Dharmasena,AM Saheba
Delhi,Feroz Shah Kotla,India,17-03-2010,Group Stage,Delhi Daredevils,Mumbai Indians,Gautam Gambhir,Sachin Tendulkar,Dinesh Karthik,Aditya Tare,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,1,0,98,,SR Tendulkar,BR Doctrove,SK Tarapore
Bangalore,M Chinnaswamy Stadium,India,18-03-2010,Group Stage,Royal Challengers Bangalore,Rajasthan Royals,Anil Kumble,Shane Warne,Mark Boucher,Naman Ojha,Royal Challengers Bangalore,field,Rajasthan Royals,Royal Challengers Bangalore,0,1,,10,JH Kallis,K Hariharan,DJ Harper
Delhi,Feroz Shah Kotla,India,19-03-2010,Group Stage,Delhi Daredevils,Chennai Super Kings,Dinesh Karthik,Suresh Raina,Dinesh Karthik,Parthiv Patel,Delhi Daredevils,bat,Delhi Daredevils,Chennai Super Kings,0,1,,5,ML Hayden,BR Doctrove,SK Tarapore
Cuttack,Barabati Stadium,India,19-03-2010,Group Stage,Deccan Chargers,Kings XI Punjab,Adam Gilchrist,Kumar Sangakkara,Adam Gilchrist,Kumar Sangakkara,Kings XI Punjab,field,Deccan Chargers,Deccan Chargers,1,0,6,,A Symonds,BF Bowden,M Erasmus
Ahmedabad,"Sardar Patel Stadium, Motera",India,20-03-2010,Group Stage,Rajasthan Royals,Kolkata Knight Riders,Shane Warne,Sourav Ganguly,Naman Ojha,Wriddhiman Saha,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,34,,AA Jhunjhunwala,RE Koertzen,RB Tiffin
Mumbai,Brabourne Stadium,India,20-03-2010,Group Stage,Mumbai Indians,Royal Challengers Bangalore,Sachin Tendulkar,Anil Kumble,Aditya Tare,Mark Boucher,Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bangalore,0,1,,7,JH Kallis,HDPK Dharmasena,SS Hazare
Cuttack,Barabati Stadium,India,21-03-2010,Group Stage,Deccan Chargers,Delhi Daredevils,Adam Gilchrist,Dinesh Karthik,Adam Gilchrist,Dinesh Karthik,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,10,,A Symonds,BF Bowden,M Erasmus
Chennai,"MA Chidambaram Stadium, Chepauk",India,21-03-2010,Group Stage,Chennai Super Kings,Kings XI Punjab,Suresh Raina,Kumar Sangakkara,Parthiv Patel,Kumar Sangakkara,Chennai Super Kings,field,Kings XI Punjab,Tied,,,,,J Theron,K Hariharan,DJ Harper
Mumbai,Brabourne Stadium,India,22-03-2010,Group Stage,Mumbai Indians,Kolkata Knight Riders,Sachin Tendulkar,Sourav Ganguly,Aditya Tare,Wriddhiman Saha,Kolkata Knight Riders,bat,Kolkata Knight Riders,Mumbai Indians,0,1,,7,SR Tendulkar,SS Hazare,SJA Taufel
Bangalore,M Chinnaswamy Stadium,India,23-03-2010,Group Stage,Royal Challengers Bangalore,Chennai Super Kings,Anil Kumble,Suresh Raina,Mark Boucher,Parthiv Patel,Chennai Super Kings,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,36,,RV Uthappa,RE Koertzen,RB Tiffin
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,24-03-2010,Group Stage,Kings XI Punjab,Rajasthan Royals,Kumar Sangakkara,Shane Warne,Kumar Sangakkara,Naman Ojha,Kings XI Punjab,field,Rajasthan Royals,Rajasthan Royals,1,0,31,,AC Voges,BR Doctrove,SK Tarapore
Mumbai,Brabourne Stadium,India,25-03-2010,Group Stage,Mumbai Indians,Chennai Super Kings,Sachin Tendulkar,MS Dhoni,Aditya Tare,MS Dhoni,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,0,1,,5,SR Tendulkar,BF Bowden,AM Saheba
Bangalore,M Chinnaswamy Stadium,India,25-03-2010,Group Stage,Royal Challengers Bangalore,Delhi Daredevils,Anil Kumble,Dinesh Karthik,Mark Boucher,Dinesh Karthik,Royal Challengers Bangalore,field,Delhi Daredevils,Delhi Daredevils,1,0,17,,KM Jadhav,BG Jerling,RE Koertzen
Ahmedabad,"Sardar Patel Stadium, Motera",India,26-03-2010,Group Stage,Rajasthan Royals,Deccan Chargers,Shane Warne,Adam Gilchrist,Naman Ojha,Adam Gilchrist,Deccan Chargers,bat,Deccan Chargers,Rajasthan Royals,0,1,,8,YK Pathan,HDPK Dharmasena,SJA Taufel
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,27-03-2010,Group Stage,Kings XI Punjab,Kolkata Knight Riders,Kumar Sangakkara,Sourav Ganguly,Kumar Sangakkara,Wriddhiman Saha,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,39,,MK Tiwary,BR Doctrove,S Ravi
Ahmedabad,"Sardar Patel Stadium, Motera",India,28-03-2010,Group Stage,Rajasthan Royals,Chennai Super Kings,Shane Warne,MS Dhoni,Naman Ojha,MS Dhoni,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,17,,NV Ojha,SS Hazare,SJA Taufel
Mumbai,Dr DY Patil Sports Academy,India,28-03-2010,Group Stage,Deccan Chargers,Mumbai Indians,Adam Gilchrist,Sachin Tendulkar,Adam Gilchrist,Ambati Rayudu,Deccan Chargers,field,Mumbai Indians,Mumbai Indians,1,0,41,,Harbhajan Singh,S Das,K Hariharan
Delhi,Feroz Shah Kotla,India,29-03-2010,Group Stage,Delhi Daredevils,Kolkata Knight Riders,Gautam Gambhir,Sourav Ganguly,Dinesh Karthik,Wriddhiman Saha,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,40,,DA Warner,SS Hazare,SJA Taufel
Mumbai,Brabourne Stadium,India,30-03-2010,Group Stage,Mumbai Indians,Kings XI Punjab,Sachin Tendulkar,Mahela Jayawardene,Ambati Rayudu,Manvinder Bisla,Mumbai Indians,field,Kings XI Punjab,Mumbai Indians,0,1,,4,SL Malinga,BR Doctrove,SK Tarapore
Chennai,"MA Chidambaram Stadium, Chepauk",India,31-03-2010,Group Stage,Chennai Super Kings,Royal Challengers Bangalore,MS Dhoni,Anil Kumble,MS Dhoni,Robin Uthappa,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Chennai Super Kings,0,1,,5,M Vijay,BG Jerling,RE Koertzen
Delhi,Feroz Shah Kotla,India,31-03-2010,Group Stage,Delhi Daredevils,Rajasthan Royals,Gautam Gambhir,Shane Warne,Dinesh Karthik,Naman Ojha,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,67,,KD Karthik,HDPK Dharmasena,SJA Taufel
Kolkata,Eden Gardens,India,01-04-2010,Group Stage,Kolkata Knight Riders,Deccan Chargers,Sourav Ganguly,Adam Gilchrist,Wriddhiman Saha,Adam Gilchrist,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,24,,SC Ganguly,K Hariharan,DJ Harper
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,02-04-2010,Group Stage,Kings XI Punjab,Royal Challengers Bangalore,Kumar Sangakkara,Anil Kumble,Kumar Sangakkara,Robin Uthappa,Kings XI Punjab,bat,Kings XI Punjab,Royal Challengers Bangalore,0,1,,6,KP Pietersen,BF Bowden,M Erasmus
Chennai,"MA Chidambaram Stadium, Chepauk",India,03-04-2010,Group Stage,Chennai Super Kings,Rajasthan Royals,MS Dhoni,Shane Warne,MS Dhoni,Naman Ojha,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,23,,M Vijay,RE Koertzen,RB Tiffin
Mumbai,Brabourne Stadium,India,03-04-2010,Group Stage,Mumbai Indians,Deccan Chargers,Sachin Tendulkar,Adam Gilchrist,Ambati Rayudu,Adam Gilchrist,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,63,,AT Rayudu,BR Doctrove,S Ravi
Kolkata,Eden Gardens,India,04-04-2010,Group Stage,Kolkata Knight Riders,Kings XI Punjab,Sourav Ganguly,Kumar Sangakkara,Wriddhiman Saha,Manvinder Bisla,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kings XI Punjab,0,1,,8,DPMD Jayawardene,S Asnani,DJ Harper
Delhi,Feroz Shah Kotla,India,04-04-2010,Group Stage,Delhi Daredevils,Royal Challengers Bangalore,Gautam Gambhir,Anil Kumble,Dinesh Karthik,Robin Uthappa,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,37,,PD Collingwood,BF Bowden,M Erasmus
Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",India,05-04-2010,Group Stage,Deccan Chargers,Rajasthan Royals,Adam Gilchrist,Shane Warne,Adam Gilchrist,Naman Ojha,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,2,,SK Warne,HDPK Dharmasena,SJA Taufel
Chennai,"MA Chidambaram Stadium, Chepauk",India,06-04-2010,Group Stage,Chennai Super Kings,Mumbai Indians,MS Dhoni,Sachin Tendulkar,MS Dhoni,Ambati Rayudu,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,24,,SK Raina,S Asnani,DJ Harper
Jaipur,Sawai Mansingh Stadium,India,07-04-2010,Group Stage,Rajasthan Royals,Kings XI Punjab,Shane Warne,Kumar Sangakkara,Naman Ojha,Manvinder Bisla,Kings XI Punjab,bat,Kings XI Punjab,Rajasthan Royals,0,1,,9,MJ Lumb,S Ravi,SK Tarapore
Kolkata,Eden Gardens,India,07-04-2010,Group Stage,Kolkata Knight Riders,Delhi Daredevils,Sourav Ganguly,Gautam Gambhir,Wriddhiman Saha,Dinesh Karthik,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,14,,SC Ganguly,BG Jerling,RE Koertzen
Bangalore,M Chinnaswamy Stadium,India,08-04-2010,Group Stage,Royal Challengers Bangalore,Deccan Chargers,Anil Kumble,Adam Gilchrist,Robin Uthappa,Adam Gilchrist,Deccan Chargers,field,Royal Challengers Bangalore,Deccan Chargers,0,1,,7,TL Suman,S Asnani,DJ Harper
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,09-04-2010,Group Stage,Kings XI Punjab,Mumbai Indians,Kumar Sangakkara,Sachin Tendulkar,Kumar Sangakkara,Ambati Rayudu,Mumbai Indians,bat,Mumbai Indians,Kings XI Punjab,0,1,,6,KC Sangakkara,M Erasmus,AM Saheba
Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",India,10-04-2010,Group Stage,Deccan Chargers,Chennai Super Kings,Adam Gilchrist,MS Dhoni,Adam Gilchrist,MS Dhoni,Chennai Super Kings,bat,Chennai Super Kings,Deccan Chargers,0,1,,6,RJ Harris,HDPK Dharmasena,SJA Taufel
Bangalore,M Chinnaswamy Stadium,India,10-04-2010,Group Stage,Royal Challengers Bangalore,Kolkata Knight Riders,Anil Kumble,Sourav Ganguly,Robin Uthappa,Wriddhiman Saha,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,7,R Vinay Kumar,K Hariharan,DJ Harper
Delhi,Feroz Shah Kotla,India,11-04-2010,Group Stage,Delhi Daredevils,Kings XI Punjab,Gautam Gambhir,Kumar Sangakkara,Dinesh Karthik,Kumar Sangakkara,Delhi Daredevils,bat,Delhi Daredevils,Kings XI Punjab,0,1,,7,PP Chawla,BF Bowden,AM Saheba
Jaipur,Sawai Mansingh Stadium,India,11-04-2010,Group Stage,Rajasthan Royals,Mumbai Indians,Shane Warne,Sachin Tendulkar,Naman Ojha,Ambati Rayudu,Rajasthan Royals,field,Mumbai Indians,Mumbai Indians,1,0,37,,SR Tendulkar,BR Doctrove,SK Tarapore
Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",India,12-04-2010,Group Stage,Deccan Chargers,Royal Challengers Bangalore,Adam Gilchrist,Anil Kumble,Adam Gilchrist,Robin Uthappa,Royal Challengers Bangalore,field,Deccan Chargers,Deccan Chargers,1,0,13,,Harmeet Singh,RE Koertzen,RB Tiffin
Mumbai,Brabourne Stadium,India,13-04-2010,Group Stage,Mumbai Indians,Delhi Daredevils,Sachin Tendulkar,Gautam Gambhir,Chandan Madan,Dinesh Karthik,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,39,,KA Pollard,S Asnani,DJ Harper
Chennai,"MA Chidambaram Stadium, Chepauk",India,13-04-2010,Group Stage,Chennai Super Kings,Kolkata Knight Riders,MS Dhoni,Sourav Ganguly,MS Dhoni,Wriddhiman Saha,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,0,1,,9,R Ashwin,SS Hazare,SJA Taufel
Jaipur,Sawai Mansingh Stadium,India,14-04-2010,Group Stage,Rajasthan Royals,Royal Challengers Bangalore,Shane Warne,Anil Kumble,Naman Ojha,Robin Uthappa,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,0,1,,5,KP Pietersen,BR Doctrove,S Ravi
Chennai,"MA Chidambaram Stadium, Chepauk",India,15-04-2010,Group Stage,Chennai Super Kings,Delhi Daredevils,MS Dhoni,Gautam Gambhir,MS Dhoni,Dinesh Karthik,Chennai Super Kings,bat,Chennai Super Kings,Delhi Daredevils,0,1,,6,G Gambhir,HDPK Dharmasena,SS Hazare
Dharamsala,Himachal Pradesh Cricket Association Stadium,India,16-04-2010,Group Stage,Kings XI Punjab,Deccan Chargers,Kumar Sangakkara,Adam Gilchrist,Kumar Sangakkara,Adam Gilchrist,Deccan Chargers,field,Kings XI Punjab,Deccan Chargers,0,1,,5,RG Sharma,M Erasmus,AM Saheba
Bangalore,M Chinnaswamy Stadium,India,17-04-2010,Group Stage,Royal Challengers Bangalore,Mumbai Indians,Anil Kumble,Sachin Tendulkar,Robin Uthappa,Aditya Tare,Royal Challengers Bangalore,field,Mumbai Indians,Mumbai Indians,1,0,57,,R McLaren,HDPK Dharmasena,SJA Taufel
Kolkata,Eden Gardens,India,17-04-2010,Group Stage,Kolkata Knight Riders,Rajasthan Royals,Sourav Ganguly,Shane Warne,Brendon McCullum,Naman Ojha,Rajasthan Royals,bat,Rajasthan Royals,Kolkata Knight Riders,0,1,,8,JD Unadkat,BG Jerling,RB Tiffin
Dharamsala,Himachal Pradesh Cricket Association Stadium,India,18-04-2010,Group Stage,Kings XI Punjab,Chennai Super Kings,Kumar Sangakkara,MS Dhoni,Kumar Sangakkara,MS Dhoni,Chennai Super Kings,field,Kings XI Punjab,Chennai Super Kings,0,1,,6,MS Dhoni,BF Bowden,AM Saheba
Delhi,Feroz Shah Kotla,India,18-04-2010,Group Stage,Delhi Daredevils,Deccan Chargers,Gautam Gambhir,Adam Gilchrist,Dinesh Karthik,Adam Gilchrist,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,11,,A Symonds,BR Doctrove,SK Tarapore
Kolkata,Eden Gardens,India,19-04-2010,Group Stage,Kolkata Knight Riders,Mumbai Indians,Sourav Ganguly,Dwayne Bravo,Wriddhiman Saha,Aditya Tare,Mumbai Indians,bat,Mumbai Indians,Kolkata Knight Riders,0,1,,9,M Kartik,BG Jerling,RE Koertzen
Mumbai,Dr DY Patil Sports Academy,India,21-04-2010,1st Semi Final,Royal Challengers Bangalore,Mumbai Indians,Anil Kumble,Sachin Tendulkar,Robin Uthappa,Ambati Rayudu,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,35,,KA Pollard,BR Doctrove,RB Tiffin
Mumbai,Dr DY Patil Sports Academy,India,22-04-2010,2nd Semi Final,Chennai Super Kings,Deccan Chargers,MS Dhoni,Adam Gilchrist,MS Dhoni,Adam Gilchrist,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,38,,DE Bollinger,BR Doctrove,RB Tiffin
