City,Venue,Host_Country,Date,Match Type,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Team 1 Wicket Keeper,Team 2 Wicket Keeper,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Dharamsala,Himachal Pradesh Cricket Association Stadium,India,19-05-2012,Group Stage,Kings XI Punjab,Delhi Daredevils,,,,,Delhi Daredevils,field,Kings XI Punjab,Delhi Daredevils,0,1,,6,UT Yadav,BF Bowden,VA Kulkarni
Pune,Subrata Roy Sahara Stadium,India,19-05-2012,Group Stage,Pune Warriors,Kolkata Knight Riders,,,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,34,,Shakib Al Hasan,S Asnani,BR Doctrove
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,20-05-2012,Group Stage,Deccan Chargers,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Deccan Chargers,Deccan Chargers,1,0,9,,DW Steyn,S Ravi,SJA Taufel
Jaipur,Sawai Mansingh Stadium,India,20-05-2012,Group Stage,Rajasthan Royals,Mumbai Indians,,,,,Rajasthan Royals,bat,Rajasthan Royals,Mumbai Indians,0,1,,10,DR Smith,HDPK Dharmasena,C Shamshuddin
Pune,Subrata Roy Sahara Stadium,India,22-05-2012,Group Stage,Delhi Daredevils,Kolkata Knight Riders,,,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,18,,YK Pathan,BR Doctrove,SJA Taufel
Bangalore,M Chinnaswamy Stadium,India,23-05-2012,Group Stage,Chennai Super Kings,Mumbai Indians,,,,,Mumbai Indians,field,Chennai Super Kings,Chennai Super Kings,1,0,38,,MS Dhoni,BF Bowden,HDPK Dharmasena
Chennai,"MA Chidambaram Stadium, Chepauk",India,25-05-2012,Group Stage,Delhi Daredevils,Chennai Super Kings,,,,,Delhi Daredevils,field,Chennai Super Kings,Chennai Super Kings,1,0,86,,M Vijay,BR Doctrove,SJA Taufel
Chennai,"MA Chidambaram Stadium, Chepauk",India,27-05-2012,Group Stage,Kolkata Knight Riders,Chennai Super Kings,,,,,Chennai Super Kings,bat,Chennai Super Kings,Kolkata Knight Riders,0,1,,5,MS Bisla,BF Bowden,SJA Taufel
Kolkata,Eden Gardens,India,03-04-2013,Group Stage,Kolkata Knight Riders,Delhi Daredevils,,,,,Kolkata Knight Riders,field,Delhi Daredevils,Kolkata Knight Riders,0,1,,6,SP Narine,S Ravi,SJA Taufel
Bangalore,M Chinnaswamy Stadium,India,04-04-2013,Group Stage,Royal Challengers Bangalore,Mumbai Indians,,,,,Mumbai Indians,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,2,,CH Gayle,VA Kulkarni,C Shamshuddin
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,05-04-2013,Group Stage,Sunrisers Hyderabad,Pune Warriors,,,,,Pune Warriors,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,22,,A Mishra,S Ravi,SJA Taufel
Delhi,Feroz Shah Kotla,India,06-04-2013,Group Stage,Delhi Daredevils,Rajasthan Royals,,,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,5,,R Dravid,S Das,C Shamshuddin
Chennai,"MA Chidambaram Stadium, Chepauk",India,06-04-2013,Group Stage,Chennai Super Kings,Mumbai Indians,,,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,9,,KA Pollard,M Erasmus,VA Kulkarni
Pune,Subrata Roy Sahara Stadium,India,07-04-2013,Group Stage,Pune Warriors,Kings XI Punjab,,,,,Pune Warriors,bat,Pune Warriors,Kings XI Punjab,0,1,,8,M Vohra,S Asnani,SJA Taufel
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,07-04-2013,Group Stage,Sunrisers Hyderabad,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Tied,,,,,GH Vihari,AK Chaudhary,S Ravi
Jaipur,Sawai Mansingh Stadium,India,08-04-2013,Group Stage,Rajasthan Royals,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Rajasthan Royals,Rajasthan Royals,1,0,19,,SK Trivedi,Aleem Dar,S Das
Mumbai,Wankhede Stadium,India,09-04-2013,Group Stage,Mumbai Indians,Delhi Daredevils,,,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,44,,KD Karthik,M Erasmus,VA Kulkarni
Bangalore,M Chinnaswamy Stadium,India,09-04-2013,Group Stage,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Royal Challengers Bangalore,0,1,,7,V Kohli,S Ravi,SJA Taufel
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,10-04-2013,Group Stage,Kings XI Punjab,Chennai Super Kings,,,,,Chennai Super Kings,field,Kings XI Punjab,Chennai Super Kings,0,1,,10,MEK Hussey,Aleem Dar,C Shamshuddin
Bangalore,M Chinnaswamy Stadium,India,11-04-2013,Group Stage,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,8,CH Gayle,Asad Rauf,AK Chaudhary
Pune,Subrata Roy Sahara Stadium,India,11-04-2013,Group Stage,Pune Warriors,Rajasthan Royals,,,,,Rajasthan Royals,bat,Rajasthan Royals,Pune Warriors,0,1,,7,AJ Finch,M Erasmus,K Srinath
Delhi,Feroz Shah Kotla,India,12-04-2013,Group Stage,Delhi Daredevils,Sunrisers Hyderabad,,,,,Delhi Daredevils,bat,Delhi Daredevils,Sunrisers Hyderabad,0,1,,3,A Mishra,Aleem Dar,Subroto Das
Mumbai,Wankhede Stadium,India,13-04-2013,Group Stage,Mumbai Indians,Pune Warriors,,,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,41,,RG Sharma,S Ravi,SJA Taufel
Chennai,"MA Chidambaram Stadium, Chepauk",India,13-04-2013,Group Stage,Chennai Super Kings,Royal Challengers Bangalore,,,,,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,0,1,,4,RA Jadeja,Asad Rauf,AK Chaudhary
Kolkata,Eden Gardens,India,14-04-2013,Group Stage,Kolkata Knight Riders,Sunrisers Hyderabad,,,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,48,,G Gambhir,M Erasmus,VA Kulkarni
Jaipur,Sawai Mansingh Stadium,India,14-04-2013,Group Stage,Rajasthan Royals,Kings XI Punjab,,,,,Rajasthan Royals,field,Kings XI Punjab,Rajasthan Royals,0,1,,6,JP Faulkner,Aleem Dar,C Shamshuddin
Chennai,"MA Chidambaram Stadium, Chepauk",India,15-04-2013,Group Stage,Chennai Super Kings,Pune Warriors,,,,,Pune Warriors,bat,Pune Warriors,Pune Warriors,1,0,24,,SPD Smith,Asad Rauf,AK Chaudhary
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,16-04-2013,Group Stage,Kings XI Punjab,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Kings XI Punjab,Kings XI Punjab,1,0,4,,MS Gony,CK Nandan,SJA Taufel
Bangalore,M Chinnaswamy Stadium,India,16-04-2013,Group Stage,Royal Challengers Bangalore,Delhi Daredevils,,,,,Royal Challengers Bangalore,field,Delhi Daredevils,Tied,,,,,V Kohli,M Erasmus,VA Kulkarni
Pune,Subrata Roy Sahara Stadium,India,17-04-2013,Group Stage,Pune Warriors,Sunrisers Hyderabad,,,,,Pune Warriors,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,11,,A Mishra,Asad Rauf,AK Chaudhary
Jaipur,Sawai Mansingh Stadium,India,17-04-2013,Group Stage,Rajasthan Royals,Mumbai Indians,,,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,87,,AM Rahane,Aleem Dar,C Shamshuddin
Delhi,Feroz Shah Kotla,India,18-04-2013,Group Stage,Delhi Daredevils,Chennai Super Kings,,,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,86,,MEK Hussey,M Erasmus,VA Kulkarni
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,19-04-2013,Group Stage,Sunrisers Hyderabad,Kings XI Punjab,,,,,Kings XI Punjab,bat,Kings XI Punjab,Sunrisers Hyderabad,0,1,,5,GH Vihari,HDPK Dharmasena,CK Nandan
Kolkata,Eden Gardens,India,20-04-2013,Group Stage,Kolkata Knight Riders,Chennai Super Kings,,,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,0,1,,4,RA Jadeja,Asad Rauf,AK Chaudhary
Bangalore,M Chinnaswamy Stadium,India,20-04-2013,Group Stage,Royal Challengers Bangalore,Rajasthan Royals,,,,,Royal Challengers Bangalore,field,Rajasthan Royals,Royal Challengers Bangalore,0,1,,7,R Vinay Kumar,Aleem Dar,C Shamshuddin
Delhi,Feroz Shah Kotla,India,21-04-2013,Group Stage,Delhi Daredevils,Mumbai Indians,,,,,Mumbai Indians,bat,Mumbai Indians,Delhi Daredevils,0,1,,9,V Sehwag,HDPK Dharmasena,S Ravi
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,21-04-2013,Group Stage,Kings XI Punjab,Pune Warriors,,,,,Kings XI Punjab,field,Pune Warriors,Kings XI Punjab,0,1,,7,DA Miller,M Erasmus,K Srinath
Chennai,"MA Chidambaram Stadium, Chepauk",India,22-04-2013,Group Stage,Chennai Super Kings,Rajasthan Royals,,,,,Rajasthan Royals,bat,Rajasthan Royals,Chennai Super Kings,0,1,,5,MEK Hussey,S Asnani,AK Chaudhary
Bangalore,M Chinnaswamy Stadium,India,23-04-2013,Group Stage,Royal Challengers Bangalore,Pune Warriors,,,,,Pune Warriors,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,130,,CH Gayle,Aleem Dar,C Shamshuddin
Delhi,Feroz Shah Kotla,India,23-04-2013,Group Stage,Delhi Daredevils,Kings XI Punjab,,,,,Kings XI Punjab,field,Delhi Daredevils,Kings XI Punjab,0,1,,5,Harmeet Singh,VA Kulkarni,K Srinath
Kolkata,Eden Gardens,India,24-04-2013,Group Stage,Kolkata Knight Riders,Mumbai Indians,,,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Mumbai Indians,0,1,,5,DR Smith,HDPK Dharmasena,S Ravi
Chennai,"MA Chidambaram Stadium, Chepauk",India,25-04-2013,Group Stage,Chennai Super Kings,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Chennai Super Kings,0,1,,5,MS Dhoni,Aleem Dar,S Das
Kolkata,Eden Gardens,India,26-04-2013,Group Stage,Kolkata Knight Riders,Kings XI Punjab,,,,,Kings XI Punjab,bat,Kings XI Punjab,Kolkata Knight Riders,0,1,,6,JH Kallis,CK Nandan,S Ravi
Jaipur,Sawai Mansingh Stadium,India,27-04-2013,Group Stage,Rajasthan Royals,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Rajasthan Royals,0,1,,8,JP Faulkner,VA Kulkarni,K Srinath
Mumbai,Wankhede Stadium,India,27-04-2013,Group Stage,Mumbai Indians,Royal Challengers Bangalore,,,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,58,,DR Smith,Asad Rauf,S Asnani
Chennai,"MA Chidambaram Stadium, Chepauk",India,28-04-2013,Group Stage,Chennai Super Kings,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Chennai Super Kings,Chennai Super Kings,1,0,14,,MEK Hussey,Aleem Dar,SJA Taufel
Raipur,Shaheed Veer Narayan Singh International Stadium,India,28-04-2013,Group Stage,Delhi Daredevils,Pune Warriors,,,,,Pune Warriors,field,Delhi Daredevils,Delhi Daredevils,1,0,15,,DA Warner,CK Nandan,S Ravi
Jaipur,Sawai Mansingh Stadium,India,29-04-2013,Group Stage,Rajasthan Royals,Royal Challengers Bangalore,,,,,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,0,1,,4,SV Samson,M Erasmus,K Srinath
Mumbai,Wankhede Stadium,India,29-04-2013,Group Stage,Mumbai Indians,Kings XI Punjab,,,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,4,,RG Sharma,Asad Rauf,AK Chaudhary
Pune,Subrata Roy Sahara Stadium,India,30-04-2013,Group Stage,Pune Warriors,Chennai Super Kings,,,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,37,,MS Dhoni,S Das,SJA Taufel
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,01-05-2013,Group Stage,Sunrisers Hyderabad,Mumbai Indians,,,,,Mumbai Indians,bat,Mumbai Indians,Sunrisers Hyderabad,0,1,,7,I Sharma,Asad Rauf,S Asnani
Raipur,Shaheed Veer Narayan Singh International Stadium,India,01-05-2013,Group Stage,Delhi Daredevils,Kolkata Knight Riders,,,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Delhi Daredevils,0,1,,7,DA Warner,HDPK Dharmasena,CK Nandan
Chennai,"MA Chidambaram Stadium, Chepauk",India,02-05-2013,Group Stage,Chennai Super Kings,Kings XI Punjab,,,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,15,,SK Raina,M Erasmus,VA Kulkarni
Pune,Subrata Roy Sahara Stadium,India,02-05-2013,Group Stage,Pune Warriors,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,17,,AB de Villiers,Aleem Dar,C Shamshuddin
Kolkata,Eden Gardens,India,03-05-2013,Group Stage,Kolkata Knight Riders,Rajasthan Royals,,,,,Rajasthan Royals,bat,Rajasthan Royals,Kolkata Knight Riders,0,1,,8,YK Pathan,HDPK Dharmasena,CK Nandan
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,04-05-2013,Group Stage,Sunrisers Hyderabad,Delhi Daredevils,,,,,Delhi Daredevils,bat,Delhi Daredevils,Sunrisers Hyderabad,0,1,,6,DJG Sammy,Asad Rauf,S Asnani
Mumbai,Wankhede Stadium,India,05-05-2013,Group Stage,Mumbai Indians,Chennai Super Kings,,,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,60,,MG Johnson,HDPK Dharmasena,CK Nandan
Jaipur,Sawai Mansingh Stadium,India,05-05-2013,Group Stage,Rajasthan Royals,Pune Warriors,,,,,Pune Warriors,bat,Pune Warriors,Rajasthan Royals,0,1,,5,AM Rahane,C Shamshuddin,RJ Tucker
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,06-05-2013,Group Stage,Kings XI Punjab,Royal Challengers Bangalore,,,,,Kings XI Punjab,field,Royal Challengers Bangalore,Kings XI Punjab,0,1,,6,DA Miller,VA Kulkarni,NJ Llong
Jaipur,Sawai Mansingh Stadium,India,07-05-2013,Group Stage,Rajasthan Royals,Delhi Daredevils,,,,,Delhi Daredevils,bat,Delhi Daredevils,Rajasthan Royals,0,1,,9,AM Rahane,Aleem Dar,RJ Tucker
