City,Venue,Date,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Delhi,Feroz Shah Kotla,2010-03-19,Delhi Daredevils,Chennai Super Kings,,,Delhi Daredevils,bat,Delhi Daredevils,Chennai Super Kings,0,1,,5,ML Hayden,BR Doctrove,SK Tarapore
Cuttack,Barabati Stadium,2010-03-19,Deccan Chargers,Kings XI Punjab,,,Kings XI Punjab,field,Deccan Chargers,Deccan Chargers,1,0,6,,A Symonds,BF Bowden,M Erasmus
Ahmedabad,"Sardar Patel Stadium, Motera",2010-03-20,Rajasthan Royals,Kolkata Knight Riders,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,34,,AA Jhunjhunwala,RE Koertzen,RB Tiffin
Mumbai,Brabourne Stadium,2010-03-20,Mumbai Indians,Royal Challengers Bangalore,,,Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bangalore,0,1,,7,JH Kallis,HDPK Dharmasena,SS Hazare
Cuttack,Barabati Stadium,2010-03-21,Deccan Chargers,Delhi Daredevils,,,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,10,,A Symonds,BF Bowden,M Erasmus
Chennai,"MA Chidambaram Stadium, Chepauk",2010-03-21,Chennai Super Kings,Kings XI Punjab,,,Chennai Super Kings,field,Kings XI Punjab,Tied,,,,,J Theron,K Hariharan,DJ Harper
Mumbai,Brabourne Stadium,2010-03-22,Mumbai Indians,Kolkata Knight Riders,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Mumbai Indians,0,1,,7,SR Tendulkar,SS Hazare,SJA Taufel
Bangalore,M Chinnaswamy Stadium,2010-03-23,Royal Challengers Bangalore,Chennai Super Kings,,,Chennai Super Kings,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,36,,RV Uthappa,RE Koertzen,RB Tiffin
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2010-03-24,Kings XI Punjab,Rajasthan Royals,,,Kings XI Punjab,field,Rajasthan Royals,Rajasthan Royals,1,0,31,,AC Voges,BR Doctrove,SK Tarapore
Mumbai,Brabourne Stadium,2010-03-25,Mumbai Indians,Chennai Super Kings,,,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,0,1,,5,SR Tendulkar,BF Bowden,AM Saheba
Ahmedabad,"Sardar Patel Stadium, Motera",2010-03-26,Rajasthan Royals,Deccan Chargers,,,Deccan Chargers,bat,Deccan Chargers,Rajasthan Royals,0,1,,8,YK Pathan,HDPK Dharmasena,SJA Taufel
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2010-03-27,Kings XI Punjab,Kolkata Knight Riders,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,39,,MK Tiwary,BR Doctrove,S Ravi
Bangalore,M Chinnaswamy Stadium,2010-03-25,Royal Challengers Bangalore,Delhi Daredevils,,,Royal Challengers Bangalore,field,Delhi Daredevils,Delhi Daredevils,1,0,17,,KM Jadhav,BG Jerling,RE Koertzen
Ahmedabad,"Sardar Patel Stadium, Motera",2010-03-28,Rajasthan Royals,Chennai Super Kings,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,17,,NV Ojha,SS Hazare,SJA Taufel
Mumbai,Dr DY Patil Sports Academy,2010-03-28,Deccan Chargers,Mumbai Indians,,,Deccan Chargers,field,Mumbai Indians,Mumbai Indians,1,0,41,,Harbhajan Singh,S Das,K Hariharan
Delhi,Feroz Shah Kotla,2010-03-29,Delhi Daredevils,Kolkata Knight Riders,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,40,,DA Warner,SS Hazare,SJA Taufel
Mumbai,Brabourne Stadium,2010-03-30,Mumbai Indians,Kings XI Punjab,,,Mumbai Indians,field,Kings XI Punjab,Mumbai Indians,0,1,,4,SL Malinga,BR Doctrove,SK Tarapore
Chennai,"MA Chidambaram Stadium, Chepauk",2010-03-31,Chennai Super Kings,Royal Challengers Bangalore,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Chennai Super Kings,0,1,,5,M Vijay,BG Jerling,RE Koertzen
Delhi,Feroz Shah Kotla,2010-03-31,Delhi Daredevils,Rajasthan Royals,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,67,,KD Karthik,HDPK Dharmasena,SJA Taufel
Kolkata,Eden Gardens,2010-04-01,Kolkata Knight Riders,Deccan Chargers,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,24,,SC Ganguly,K Hariharan,DJ Harper
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2010-04-02,Kings XI Punjab,Royal Challengers Bangalore,,,Kings XI Punjab,bat,Kings XI Punjab,Royal Challengers Bangalore,0,1,,6,KP Pietersen,BF Bowden,M Erasmus
Chennai,"MA Chidambaram Stadium, Chepauk",2010-04-03,Chennai Super Kings,Rajasthan Royals,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,23,,M Vijay,RE Koertzen,RB Tiffin
Mumbai,Brabourne Stadium,2010-04-03,Mumbai Indians,Deccan Chargers,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,63,,AT Rayudu,BR Doctrove,S Ravi
Kolkata,Eden Gardens,2010-04-04,Kolkata Knight Riders,Kings XI Punjab,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kings XI Punjab,0,1,,8,DPMD Jayawardene,S Asnani,DJ Harper
Delhi,Feroz Shah Kotla,2010-04-04,Delhi Daredevils,Royal Challengers Bangalore,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,37,,PD Collingwood,BF Bowden,M Erasmus
Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",2010-04-05,Deccan Chargers,Rajasthan Royals,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,2,,SK Warne,HDPK Dharmasena,SJA Taufel
Chennai,"MA Chidambaram Stadium, Chepauk",2010-04-06,Chennai Super Kings,Mumbai Indians,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,24,,SK Raina,S Asnani,DJ Harper
Jaipur,Sawai Mansingh Stadium,2010-04-07,Rajasthan Royals,Kings XI Punjab,,,Kings XI Punjab,bat,Kings XI Punjab,Rajasthan Royals,0,1,,9,MJ Lumb,S Ravi,SK Tarapore
Kolkata,Eden Gardens,2010-04-07,Kolkata Knight Riders,Delhi Daredevils,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,14,,SC Ganguly,BG Jerling,RE Koertzen
Bangalore,M Chinnaswamy Stadium,2010-04-08,Royal Challengers Bangalore,Deccan Chargers,,,Deccan Chargers,field,Royal Challengers Bangalore,Deccan Chargers,0,1,,7,TL Suman,S Asnani,DJ Harper
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2010-04-09,Kings XI Punjab,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Kings XI Punjab,0,1,,6,KC Sangakkara,M Erasmus,AM Saheba
Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",2010-04-10,Deccan Chargers,Chennai Super Kings,,,Chennai Super Kings,bat,Chennai Super Kings,Deccan Chargers,0,1,,6,RJ Harris,HDPK Dharmasena,SJA Taufel
Bangalore,M Chinnaswamy Stadium,2010-04-10,Royal Challengers Bangalore,Kolkata Knight Riders,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,7,R Vinay Kumar,K Hariharan,DJ Harper
Delhi,Feroz Shah Kotla,2010-04-11,Delhi Daredevils,Kings XI Punjab,,,Delhi Daredevils,bat,Delhi Daredevils,Kings XI Punjab,0,1,,7,PP Chawla,BF Bowden,AM Saheba
Jaipur,Sawai Mansingh Stadium,2010-04-11,Rajasthan Royals,Mumbai Indians,,,Rajasthan Royals,field,Mumbai Indians,Mumbai Indians,1,0,37,,SR Tendulkar,BR Doctrove,SK Tarapore
Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",2010-04-12,Deccan Chargers,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Deccan Chargers,Deccan Chargers,1,0,13,,Harmeet Singh,RE Koertzen,RB Tiffin
Mumbai,Brabourne Stadium,2010-04-13,Mumbai Indians,Delhi Daredevils,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,39,,KA Pollard,S Asnani,DJ Harper
Chennai,"MA Chidambaram Stadium, Chepauk",2010-04-13,Chennai Super Kings,Kolkata Knight Riders,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,0,1,,9,R Ashwin,SS Hazare,SJA Taufel
Jaipur,Sawai Mansingh Stadium,2010-04-14,Rajasthan Royals,Royal Challengers Bangalore,,,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,0,1,,5,KP Pietersen,BR Doctrove,S Ravi
Chennai,"MA Chidambaram Stadium, Chepauk",2010-04-15,Chennai Super Kings,Delhi Daredevils,,,Chennai Super Kings,bat,Chennai Super Kings,Delhi Daredevils,0,1,,6,G Gambhir,HDPK Dharmasena,SS Hazare
Dharamsala,Himachal Pradesh Cricket Association Stadium,2010-04-16,Kings XI Punjab,Deccan Chargers,,,Deccan Chargers,field,Kings XI Punjab,Deccan Chargers,0,1,,5,RG Sharma,M Erasmus,AM Saheba
Bangalore,M Chinnaswamy Stadium,2010-04-17,Royal Challengers Bangalore,Mumbai Indians,,,Royal Challengers Bangalore,field,Mumbai Indians,Mumbai Indians,1,0,57,,R McLaren,HDPK Dharmasena,SJA Taufel
Kolkata,Eden Gardens,2010-04-17,Kolkata Knight Riders,Rajasthan Royals,,,Rajasthan Royals,bat,Rajasthan Royals,Kolkata Knight Riders,0,1,,8,JD Unadkat,BG Jerling,RB Tiffin
Dharamsala,Himachal Pradesh Cricket Association Stadium,2010-04-18,Kings XI Punjab,Chennai Super Kings,,,Chennai Super Kings,field,Kings XI Punjab,Chennai Super Kings,0,1,,6,MS Dhoni,BF Bowden,AM Saheba
Delhi,Feroz Shah Kotla,2010-04-18,Delhi Daredevils,Deccan Chargers,,,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,11,,A Symonds,BR Doctrove,SK Tarapore
Kolkata,Eden Gardens,2010-04-19,Kolkata Knight Riders,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Kolkata Knight Riders,0,1,,9,M Kartik,BG Jerling,RE Koertzen
Mumbai,Dr DY Patil Sports Academy,2010-04-21,Royal Challengers Bangalore,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,35,,KA Pollard,BR Doctrove,RB Tiffin
Mumbai,Dr DY Patil Sports Academy,2010-04-22,Chennai Super Kings,Deccan Chargers,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,38,,DE Bollinger,BR Doctrove,RB Tiffin
Mumbai,Dr DY Patil Sports Academy,2010-04-24,Royal Challengers Bangalore,Deccan Chargers,,,Deccan Chargers,bat,Deccan Chargers,Royal Challengers Bangalore,0,1,,9,A Kumble,RE Koertzen,SJA Taufel
Mumbai,Dr DY Patil Sports Academy,2010-04-25,Chennai Super Kings,Mumbai Indians,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,22,,SK Raina,RE Koertzen,SJA Taufel
Chennai,"MA Chidambaram Stadium, Chepauk",2011-04-08,Chennai Super Kings,Kolkata Knight Riders,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,2,,S Anirudha,BR Doctrove,PR Reiffel
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011-04-09,Deccan Chargers,Rajasthan Royals,,,Rajasthan Royals,field,Deccan Chargers,Rajasthan Royals,0,1,,8,SK Trivedi,RE Koertzen,SK Tarapore
Kochi,Nehru Stadium,2011-04-09,Kochi Tuskers Kerala,Royal Challengers Bangalore,,,Kochi Tuskers Kerala,bat,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,1,,6,AB de Villiers,HDPK Dharmasena,K Hariharan
Delhi,Feroz Shah Kotla,2011-04-10,Delhi Daredevils,Mumbai Indians,,,Delhi Daredevils,bat,Delhi Daredevils,Mumbai Indians,0,1,,8,SL Malinga,AM Saheba,RB Tiffin
Mumbai,Dr DY Patil Sports Academy,2011-04-10,Pune Warriors,Kings XI Punjab,,,Kings XI Punjab,bat,Kings XI Punjab,Pune Warriors,0,1,,7,SB Wagh,BR Doctrove,PR Reiffel
Kolkata,Eden Gardens,2011-04-11,Kolkata Knight Riders,Deccan Chargers,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,9,,JH Kallis,RE Koertzen,SK Tarapore
Jaipur,Sawai Mansingh Stadium,2011-04-12,Rajasthan Royals,Delhi Daredevils,,,Delhi Daredevils,bat,Delhi Daredevils,Rajasthan Royals,0,1,,6,SK Warne,Aleem Dar,RB Tiffin
Bangalore,M Chinnaswamy Stadium,2011-04-12,Royal Challengers Bangalore,Mumbai Indians,,,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,0,1,,9,SR Tendulkar,HDPK Dharmasena,AL Hill
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2011-04-13,Kings XI Punjab,Chennai Super Kings,,,Kings XI Punjab,field,Chennai Super Kings,Kings XI Punjab,0,1,,6,PC Valthaty,Asad Rauf,SL Shastri
Mumbai,Dr DY Patil Sports Academy,2011-04-13,Pune Warriors,Kochi Tuskers Kerala,,,Kochi Tuskers Kerala,bat,Kochi Tuskers Kerala,Pune Warriors,0,1,,4,MD Mishra,S Asnani,PR Reiffel
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011-04-14,Deccan Chargers,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Deccan Chargers,Deccan Chargers,1,0,33,,DW Steyn,RE Koertzen,S Ravi
Jaipur,Sawai Mansingh Stadium,2011-04-15,Rajasthan Royals,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,0,1,,9,G Gambhir,Aleem Dar,SS Hazare
Mumbai,Wankhede Stadium,2011-04-15,Mumbai Indians,Kochi Tuskers Kerala,,,Kochi Tuskers Kerala,field,Mumbai Indians,Kochi Tuskers Kerala,0,1,,8,BB McCullum,BR Doctrove,PR Reiffel
Chennai,"MA Chidambaram Stadium, Chepauk",2011-04-16,Chennai Super Kings,Royal Challengers Bangalore,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,21,,MEK Hussey,HDPK Dharmasena,AL Hill
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011-04-16,Deccan Chargers,Kings XI Punjab,,,Kings XI Punjab,field,Deccan Chargers,Kings XI Punjab,0,1,,8,PC Valthaty,RE Koertzen,S Ravi
Mumbai,Dr DY Patil Sports Academy,2011-04-17,Pune Warriors,Delhi Daredevils,,,Delhi Daredevils,field,Pune Warriors,Delhi Daredevils,0,1,,3,Yuvraj Singh,Asad Rauf,AM Saheba
Kolkata,Eden Gardens,2011-04-17,Kolkata Knight Riders,Rajasthan Royals,,,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,0,1,,8,L Balaji,Aleem Dar,RB Tiffin
Kochi,Nehru Stadium,2011-04-18,Kochi Tuskers Kerala,Chennai Super Kings,,,Kochi Tuskers Kerala,field,Chennai Super Kings,Kochi Tuskers Kerala,0,1,,7,BB McCullum,K Hariharan,AL Hill
Delhi,Feroz Shah Kotla,2011-04-19,Delhi Daredevils,Deccan Chargers,,,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,16,,S Sohal,PR Reiffel,RJ Tucker
Mumbai,Wankhede Stadium,2011-04-20,Mumbai Indians,Pune Warriors,,,Pune Warriors,bat,Pune Warriors,Mumbai Indians,0,1,,7,MM Patel,Asad Rauf,AM Saheba
Kolkata,Eden Gardens,2011-04-20,Kolkata Knight Riders,Kochi Tuskers Kerala,,,Kolkata Knight Riders,field,Kochi Tuskers Kerala,Kochi Tuskers Kerala,1,0,6,,DPMD Jayawardene,Aleem Dar,RB Tiffin
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2011-04-21,Kings XI Punjab,Rajasthan Royals,,,Rajasthan Royals,field,Kings XI Punjab,Kings XI Punjab,1,0,48,,SE Marsh,S Asnani,PR Reiffel
Mumbai,Wankhede Stadium,2011-04-22,Mumbai Indians,Chennai Super Kings,,,Chennai Super Kings,field,Mumbai Indians,Mumbai Indians,1,0,8,,Harbhajan Singh,Asad Rauf,AM Saheba
Kolkata,Eden Gardens,2011-04-22,Kolkata Knight Riders,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,9,CH Gayle,SS Hazare,RB Tiffin
Delhi,Feroz Shah Kotla,2011-04-23,Delhi Daredevils,Kings XI Punjab,,,Kings XI Punjab,field,Delhi Daredevils,Delhi Daredevils,1,0,29,,DA Warner,S Asnani,RE Koertzen
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011-04-24,Deccan Chargers,Mumbai Indians,,,Deccan Chargers,field,Mumbai Indians,Mumbai Indians,1,0,37,,SL Malinga,HDPK Dharmasena,AL Hill
Jaipur,Sawai Mansingh Stadium,2011-04-24,Rajasthan Royals,Kochi Tuskers Kerala,,,Rajasthan Royals,field,Kochi Tuskers Kerala,Rajasthan Royals,0,1,,8,SK Warne,BR Doctrove,SK Tarapore
Chennai,"MA Chidambaram Stadium, Chepauk",2011-04-25,Chennai Super Kings,Pune Warriors,,,Pune Warriors,field,Chennai Super Kings,Chennai Super Kings,1,0,25,,MEK Hussey,Aleem Dar,RB Tiffin
Delhi,Feroz Shah Kotla,2011-04-26,Delhi Daredevils,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Delhi Daredevils,Royal Challengers Bangalore,0,1,,3,V Kohli,S Asnani,RJ Tucker
Mumbai,Dr DY Patil Sports Academy,2011-04-27,Pune Warriors,Chennai Super Kings,,,Pune Warriors,bat,Pune Warriors,Chennai Super Kings,0,1,,8,DE Bollinger,Asad Rauf,SL Shastri
Kochi,Nehru Stadium,2011-04-27,Kochi Tuskers Kerala,Deccan Chargers,,,Kochi Tuskers Kerala,field,Deccan Chargers,Deccan Chargers,1,0,55,,I Sharma,HDPK Dharmasena,AL Hill
Delhi,Feroz Shah Kotla,2011-04-28,Delhi Daredevils,Kolkata Knight Riders,,,Delhi Daredevils,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,17,,MK Tiwary,PR Reiffel,RJ Tucker
Jaipur,Sawai Mansingh Stadium,2011-04-29,Rajasthan Royals,Mumbai Indians,,,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,0,1,,7,J Botha,Asad Rauf,SK Tarapore
Bangalore,M Chinnaswamy Stadium,2011-04-29,Royal Challengers Bangalore,Pune Warriors,,,Pune Warriors,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,26,,V Kohli,Aleem Dar,SS Hazare
Kochi,Nehru Stadium,2011-04-30,Kochi Tuskers Kerala,Delhi Daredevils,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,38,,V Sehwag,HDPK Dharmasena,AL Hill
Kolkata,Eden Gardens,2011-04-30,Kolkata Knight Riders,Kings XI Punjab,,,Kolkata Knight Riders,field,Kings XI Punjab,Kolkata Knight Riders,0,1,,8,Iqbal Abdulla,AM Saheba,SL Shastri
Jaipur,Sawai Mansingh Stadium,2011-05-01,Rajasthan Royals,Pune Warriors,,,Rajasthan Royals,field,Pune Warriors,Rajasthan Royals,0,1,,6,LRPL Taylor,SK Tarapore,SJA Taufel
Chennai,"MA Chidambaram Stadium, Chepauk",2011-05-01,Chennai Super Kings,Deccan Chargers,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,19,,JA Morkel,Aleem Dar,RB Tiffin
Mumbai,Wankhede Stadium,2011-05-02,Mumbai Indians,Kings XI Punjab,,,Kings XI Punjab,field,Mumbai Indians,Mumbai Indians,1,0,23,,KA Pollard,HDPK Dharmasena,PR Reiffel
Delhi,Feroz Shah Kotla,2011-05-02,Delhi Daredevils,Kochi Tuskers Kerala,,,Kochi Tuskers Kerala,field,Delhi Daredevils,Kochi Tuskers Kerala,0,1,,7,P Parameswaran,Asad Rauf,SL Shastri
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011-05-03,Deccan Chargers,Kolkata Knight Riders,,,Deccan Chargers,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,20,,YK Pathan,S Asnani,RJ Tucker
Chennai,"MA Chidambaram Stadium, Chepauk",2011-05-04,Chennai Super Kings,Rajasthan Royals,,,Rajasthan Royals,bat,Rajasthan Royals,Chennai Super Kings,0,1,,8,MEK Hussey,SS Hazare,RB Tiffin
Mumbai,Dr DY Patil Sports Academy,2011-05-04,Pune Warriors,Mumbai Indians,,,Pune Warriors,field,Mumbai Indians,Mumbai Indians,1,0,21,,R Sharma,HDPK Dharmasena,SJA Taufel
Kochi,Nehru Stadium,2011-05-05,Kochi Tuskers Kerala,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Kochi Tuskers Kerala,Kochi Tuskers Kerala,1,0,17,,BJ Hodge,S Ravi,RJ Tucker
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011-05-05,Deccan Chargers,Delhi Daredevils,,,Delhi Daredevils,field,Deccan Chargers,Delhi Daredevils,0,1,,4,V Sehwag,Asad Rauf,AM Saheba
Bangalore,M Chinnaswamy Stadium,2011-05-06,Royal Challengers Bangalore,Kings XI Punjab,,,Kings XI Punjab,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,85,,CH Gayle,Aleem Dar,RB Tiffin
Kolkata,Eden Gardens,2011-05-07,Kolkata Knight Riders,Chennai Super Kings,,,Chennai Super Kings,bat,Chennai Super Kings,Kolkata Knight Riders,1,0,10,,Iqbal Abdulla,Asad Rauf,PR Reiffel
Mumbai,Wankhede Stadium,2011-05-07,Mumbai Indians,Delhi Daredevils,,,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,1,0,32,,AT Rayudu,K Hariharan,SJA Taufel
Bangalore,M Chinnaswamy Stadium,2011-05-08,Royal Challengers Bangalore,Kochi Tuskers Kerala,,,Kochi Tuskers Kerala,bat,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,1,,9,CH Gayle,Aleem Dar,SS Hazare
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2011-05-08,Kings XI Punjab,Pune Warriors,,,Kings XI Punjab,bat,Kings XI Punjab,Pune Warriors,0,1,,5,R Sharma,SK Tarapore,RJ Tucker
Jaipur,Sawai Mansingh Stadium,2011-05-09,Rajasthan Royals,Chennai Super Kings,,,Rajasthan Royals,field,Chennai Super Kings,Chennai Super Kings,1,0,63,,M Vijay,K Hariharan,SJA Taufel
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011-05-10,Deccan Chargers,Pune Warriors,,,Deccan Chargers,bat,Deccan Chargers,Pune Warriors,0,1,,6,MR Marsh,Asad Rauf,AM Saheba
Chandigarh,"Punjab Cricket Association Stadium, Mohali",2011-05-10,Kings XI Punjab,Mumbai Indians,,,Mumbai Indians,field,Kings XI Punjab,Kings XI Punjab,1,0,76,,BA Bhatt,SK Tarapore,RJ Tucker
Jaipur,Sawai Mansingh Stadium,2011-05-11,Rajasthan Royals,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Rajasthan Royals,Royal Challengers Bangalore,0,1,,9,S Aravind,HDPK Dharmasena,K Hariharan
Chennai,"MA Chidambaram Stadium, Chepauk",2011-05-12,Chennai Super Kings,Delhi Daredevils,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,18,,MS Dhoni,AM Saheba,SL Shastri
Indore,Holkar Cricket Stadium,2011-05-13,Kochi Tuskers Kerala,Kings XI Punjab,,,Kings XI Punjab,field,Kochi Tuskers Kerala,Kings XI Punjab,0,1,,6,KD Karthik,S Asnani,RJ Tucker
Bangalore,M Chinnaswamy Stadium,2011-05-14,Royal Challengers Bangalore,Kolkata Knight Riders,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,4,CH Gayle,RE Koertzen,RB Tiffin
Mumbai,Wankhede Stadium,2011-05-14,Mumbai Indians,Deccan Chargers,,,Deccan Chargers,bat,Deccan Chargers,Deccan Chargers,1,0,10,,A Mishra,S Ravi,SK Tarapore
Dharamsala,Himachal Pradesh Cricket Association Stadium,2011-05-15,Kings XI Punjab,Delhi Daredevils,,,Delhi Daredevils,field,Kings XI Punjab,Kings XI Punjab,1,0,29,,PP Chawla,Asad Rauf,SL Shastri
Indore,Holkar Cricket Stadium,2011-05-15,Kochi Tuskers Kerala,Rajasthan Royals,,,Kochi Tuskers Kerala,field,Rajasthan Royals,Kochi Tuskers Kerala,0,1,,8,BJ Hodge,PR Reiffel,RJ Tucker
Mumbai,Dr DY Patil Sports Academy,2011-05-16,Pune Warriors,Deccan Chargers,,,Deccan Chargers,field,Pune Warriors,Deccan Chargers,0,1,,6,A Mishra,S Ravi,SK Tarapore
Dharamsala,Himachal Pradesh Cricket Association Stadium,2011-05-17,Kings XI Punjab,Royal Challengers Bangalore,,,Kings XI Punjab,bat,Kings XI Punjab,Kings XI Punjab,1,0,111,,AC Gilchrist,Asad Rauf,AM Saheba
Chennai,"MA Chidambaram Stadium, Chepauk",2011-05-18,Chennai Super Kings,Kochi Tuskers Kerala,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,11,,WP Saha,HDPK Dharmasena,RE Koertzen
Mumbai,Dr DY Patil Sports Academy,2011-05-19,Pune Warriors,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Pune Warriors,Kolkata Knight Riders,0,1,,7,YK Pathan,S Ravi,SJA Taufel
Mumbai,Wankhede Stadium,2011-05-20,Mumbai Indians,Rajasthan Royals,,,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,0,1,,10,SR Watson,RE Koertzen,PR Reiffel
Dharamsala,Himachal Pradesh Cricket Association Stadium,2011-05-21,Kings XI Punjab,Deccan Chargers,,,Kings XI Punjab,field,Deccan Chargers,Deccan Chargers,1,0,82,,S Dhawan,Asad Rauf,AM Saheba
Delhi,Feroz Shah Kotla,2011-05-21,Delhi Daredevils,Pune Warriors,,,Delhi Daredevils,bat,Delhi Daredevils,Tied,,,,,,SS Hazare,RJ Tucker
Bangalore,M Chinnaswamy Stadium,2011-05-22,Royal Challengers Bangalore,Chennai Super Kings,,,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,0,1,,8,CH Gayle,K Hariharan,RE Koertzen
Kolkata,Eden Gardens,2011-05-22,Kolkata Knight Riders,Mumbai Indians,,,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,0,1,,5,JEC Franklin,SK Tarapore,SJA Taufel
Mumbai,Wankhede Stadium,2011-05-24,Royal Challengers Bangalore,Chennai Super Kings,,,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,0,1,,6,SK Raina,Asad Rauf,SJA Taufel
Mumbai,Wankhede Stadium,2011-05-25,Mumbai Indians,Kolkata Knight Riders,,,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,0,1,,4,MM Patel,Asad Rauf,SJA Taufel
Chennai,"MA Chidambaram Stadium, Chepauk",2011-05-27,Royal Challengers Bangalore,Mumbai Indians,,,Mumbai Indians,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,43,,CH Gayle,Asad Rauf,SJA Taufel
